Event,Date
Treaty of Rapallo,16 Apr 1922
Treaty of Berlin,24 Apr 1926
Jinan Incident,3 May 1928
Second London Naval Conference,21 Jan 1930 - 22 Apr 1930
Xinjiang Wars,20 Feb 1931 - 30 Oct 1937
Mukden Incident,18 Sep 1931 - 19 Sep 1931
Battle of Qiqihar,4 Nov 1931 - 18 Nov 1931
Battle of Jinzhou,21 Dec 1931 - 3 Jan 1932
Battle of Harbin and Establishment of Manchukuo,25 Jan 1932 - 4 Feb 1932
First Battle of Shanghai,28 Jan 1932 - 8 Mar 1932
First Battle of Hebei,1 Jan 1933 - 22 May 1933
The Reichstag Fire,27 Feb 1933
Balkan Pact,9 Feb 1934
Japan's Refusal of Washington Treaty,19 Dec 1934
Anglo-German Naval Agreement,18 Jun 1935
Invasion of Abyssinia,3 Oct 1935 - 5 May 1936
Third London Naval Conference,9 Dec 1935 - 25 Mar 1936
Hoare-Laval Pact,10 Dec 1935
Re-militarization of Rhineland,7 Mar 1936
Tauran Incident,11 Mar 1936
The Spanish Civil War,17 Jul 1936 - 4 Apr 1939
Battle of Suiyuan,20 Oct 1936 - 17 Nov 1936
Anti-Comintern Pact,25 Nov 1936
Xi'an Incident,12 Dec 1936 - 24 Dec 1936
Lugou Bridge Incident and Second Battle of Hebei,7 Jul 1937 - 8 Aug 1937
Battle of Chahar,1 Aug 1937 - 12 Aug 1937
Beiping-Hankou Railway and Tianjin-Pukou Railway Operations,1 Aug 1937 - 31 Dec 1937
Second Battle of Shanghai,13 Aug 1937 - 9 Nov 1937
"Bombing of Shanghai, Chongqing, and other Cities",15 Aug 1937 - 23 Aug 1943
Battle of Shanxi,1 Sep 1937 - 11 Nov 1937
Hossbach Conference,5 Nov 1937
Battle of Nanjing and the Rape of Nanjing,9 Dec 1937 - 31 Jan 1938
Burma Road and the Hump,1 Jan 1938 - 10 Nov 1945
Henan Campaign,7 Feb 1938 - 10 Jun 1938
Annexation of Austria,12 Mar 1938 - 10 Apr 1938
Meeting at Brenner Pass,18 Mar 1938
Battle of Xuzhou,24 Mar 1938 - 1 May 1938
Battle of Xiamen,10 May 1938 - 12 May 1938
Battle of Wuhan,11 Jun 1938 - 27 Oct 1938
Battle of Lake Khasan,29 Jul 1938 - 11 Aug 1938
Munich Conference and the Annexation of Sudetenland,29 Sep 1938 - 10 Oct 1938
Guangdong Operation,12 Oct 1938 - 31 Dec 1938
The Danzig Crisis,24 Oct 1938 - 29 Aug 1939
First Vienna Arbitration,2 Nov 1938
Kristallnacht,9 Nov 1938 - 11 Nov 1938
Battle of Hainan,9 Feb 1939 - 12 Feb 1939
Dismemberment of Czechoslovakia,14 Mar 1939 - 17 Mar 1939
Battle of Nanchang,17 Mar 1939 - 9 May 1939
Annexation of Klaipeda,22 Mar 1939
The Slovak-Hungarian War,23 Mar 1939 - 31 Mar 1939
Invasion of Albania,7 Apr 1939 - 12 Apr 1939
Battle of Suixian-Zaoyang,20 Apr 1939 - 24 May 1939
Battle of Khalkhin Gol,11 May 1939 - 31 Aug 1939
The Pact of Steel,22 May 1939
Tianjin Incident,14 Jun 1939 - 20 Aug 1939
Churchill's Tour of the Maginot Line,16 Aug 1939
Molotov-Ribbentrop Pact,23 Aug 1939
Polish-British Common Defense Pact,25 Aug 1939
Operation Peking,29 Aug 1939 - 1 Sep 1939
Invasion of Poland,1 Sep 1939 - 6 Oct 1939
Start of the Battle of the Atlantic,3 Sep 1939 - 30 Jun 1940
British Pet Massacre,3 Sep 1939 - 11 May 1941
United States Neutrality Patrol,5 Sep 1939 - 11 Dec 1941
First Battle of Changsha,17 Sep 1939 - 6 Oct 1939
Gestapo-NKVD Conferences,27 Sep 1939 - 31 Mar 1940
The Winter War,30 Nov 1939 - 13 Mar 1940
Winter Offensive,1 Dec 1939 - 30 Mar 1940
Battle of the River Plate,13 Dec 1939 - 17 Dec 1939
"Deportation of Caucasian, Altaic, and Turkish Peoples",1 Jan 1940 - 29 Dec 1944
Enigma Code Broken,14 Jan 1940
Battle of Wuyuan,28 Jan 1940 - 3 Apr 1940
Altmark Incident,16 Feb 1940
Katyn Massacre and Related Atrocities,3 Apr 1940 - 19 May 1940
Invasion of Denmark and Norway,9 Apr 1940 - 10 Jun 1940
Battle of Zaoyang-Yichang,1 May 1940 - 18 Jun 1940
Invasion of France and the Low Countries,10 May 1940 - 22 Jun 1940
Invasion and Occupation of Iceland,10 May 1940 - 31 Dec 1945
Anti-Italian Riots,10 Jun 1940
Malta Campaign,11 Jun 1940 - 31 Dec 1942
Annexation of the Baltic States,15 Jun 1940 - 9 Aug 1940
The French Resistance,22 Jun 1940 - 28 Aug 1944
Soviet Demands on Romania and the Second Vienna Arbitration,27 Jun 1940 - 30 Aug 1940
First Happy Time,1 Jul 1940 - 31 Oct 1940
Bombing of Cities in France and Low Countries,1 Jul 1940 - 7 May 1945
British Attacks on the French Fleet,3 Jul 1940 - 25 Sep 1940
Battle of Britain,10 Jul 1940 - 31 Oct 1940
Two-Ocean Navy Act,19 Jul 1940
Invasion of British Somaliland,3 Aug 1940 - 19 Aug 1940
Hundred Regiments Offensive,20 Aug 1940 - 30 Sep 1940
Invasion of Egypt,9 Sep 1940 - 16 Sep 1940
Indochina Campaign,23 Sep 1940 - 26 Sep 1940
The Tripartite Pact,27 Sep 1940
Franco-Thai War,1 Oct 1940 - 31 Jan 1941
Battle of Huangqiao,4 Oct 1940 - 10 Oct 1940
Meeting at Hendaye,23 Oct 1940
Battle of Gabon,27 Oct 1940 - 12 Nov 1940
Balkans Campaign,28 Oct 1940 - 1 Jun 1941
Attack on Taranto,11 Nov 1940 - 12 Nov 1940
Battle of Han River,25 Nov 1940 - 30 Nov 1940
Operation Compass,8 Dec 1940 - 9 Feb 1941
New Fourth Army incident,5 Jan 1941 - 13 Jan 1941
Battle of Kufra,6 Jan 1941 - 1 Mar 1941
Invasion of Italian East Africa,19 Jan 1941 - 16 May 1941
Operation Berlin,22 Jan 1941 - 22 Mar 1941
ABC-1 Conference,29 Jan 1941 - 30 Mar 1941
Battle of South Henan,30 Jan 1941 - 1 Mar 1941
Operation Sonnenblume,8 Feb 1941 - 6 May 1941
Operation Colossus,10 Feb 1941
Merano Conference,13 Feb 1941 - 14 Feb 1941
Battle of Giarabub,21 Mar 1941 - 23 Mar 1941
Battle of Matapan,27 Mar 1941 - 29 Mar 1941
Campaigns in the Middle East,2 Apr 1941 - 30 Aug 1941
Siege of Tobruk,10 Apr 1941 - 27 Nov 1941
Soviet-Japanese Neutrality Pact,13 Apr 1941
Bardia Raid,19 Apr 1941 - 20 Apr 1941
Battle of South Shanxi,7 May 1941 - 27 May 1941
Operation Brevity,15 May 1941 - 16 May 1941
Battle of Denmark Strait,24 May 1941
Operation Battleaxe,15 Jun 1941 - 17 Jun 1941
Operation Silver Fox,22 Jun 1941 - 22 Sep 1941
Operation Barbarossa,22 Jun 1941 - 30 Sep 1941
Siege of Odessa,8 Aug 1941 - 16 Oct 1941
Atlantic Charter Conference,9 Aug 1941 - 12 Aug 1941
Arctic Convoys,21 Aug 1941 - 30 May 1945
Siege of Leningrad,4 Sep 1941 - 27 Jan 1944
Second Battle of Changsha,6 Sep 1941 - 8 Oct 1941
First Moscow Conference,29 Sep 1941 - 1 Oct 1941
Battle of Moscow,30 Sep 1941 - 7 Jan 1942
First Battle of Kharkov,20 Oct 1941 - 24 Oct 1941
Battle of Sevastopol,30 Oct 1941 - 4 Jul 1942
Operation Crusader,18 Nov 1941 - 14 Dec 1941
Attack on Pearl Harbor,7 Dec 1941
Invasion of the Philippine Islands,7 Dec 1941 - 5 May 1942
Invasion of Guam,8 Dec 1941 - 10 Dec 1941
Battle of Hong Kong,8 Dec 1941 - 25 Dec 1941
Invasion of Malaya and Singapore,8 Dec 1941 - 15 Feb 1942
Battle of Wake Island,11 Dec 1941 - 23 Dec 1941
Battle of Cape Bon,13 Dec 1941
Invasion of Burma,14 Dec 1941 - 26 May 1942
"Dutch East Indies Campaign, Borneo",15 Dec 1941 - 1 Apr 1942
Underwater Raid of Alexandria,19 Dec 1941
First Washington Conference,22 Dec 1941 - 14 Jan 1942
Third Battle of Changsha,24 Dec 1941 - 15 Jan 1942
Internment of Japanese-Americans and Japanese-Canadians,1 Jan 1942 - 1 Apr 1949
Rzhev-Vyazma Offensive and the Demyansk Pocket,9 Jan 1942 - 5 May 1942
"Dutch East Indies Campaign, Celebes and Moluccas",11 Jan 1942 - 31 Jul 1942
Second Happy Time,14 Jan 1942 - 31 Aug 1942
Wannsee Conference,20 Jan 1942
"New Guinea-Papua Campaign, Phase 1, Bismarck Islands",20 Jan 1942 - 24 Jan 1942
"Dutch East Indies Campaign, Java",4 Feb 1942 - 31 Mar 1942
Operation Cerberus,11 Feb 1942 - 13 Feb 1942
"Dutch East Indies Campaign, Sumatra",13 Feb 1942 - 28 Mar 1942
Caribbean Sea and Gulf of Mexico Campaigns,16 Feb 1942 - 1 Jan 1944
Attack on Darwin,19 Feb 1942
"Bombing of Rome, Naples, and Other Cities",2 Mar 1942 - 30 Sep 1943
"New Guinea-Papua Campaign, Phase 2",8 Mar 1942 - 4 Mar 1943
Fall of the Andaman and Nicobar Islands,23 Mar 1942
Raid on Saint-Nazaire,28 Mar 1942
"Bombing of Hamburg, Dresden, and Other Cities",28 Mar 1942 - 3 Apr 1945
Raids into the Indian Ocean,31 Mar 1942 - 9 Apr 1942
Doolittle Raid,18 Apr 1942
Madagascar Campaign,5 May 1942 - 5 Nov 1942
Battle of Coral Sea,7 May 1942 - 8 May 1942
Second Battle of Kharkov,12 May 1942 - 28 May 1942
Zhejiang-Jiangxi Campaign,15 May 1942 - 15 Sep 1942
Battle of Gazala,26 May 1942 - 21 Jun 1942
Battle of Midway and the Aleutian Islands,4 Jun 1942 - 7 Jun 1942
Lidice Massacre,9 Jun 1942 - 10 Jun 1942
Second Washington Conference,20 Jun 1942 - 23 Jun 1942
Battle of Mersa Matruh,23 Jun 1942 - 28 Jun 1942
First Battle of El Alamein,1 Jul 1942 - 27 Jul 1942
Battle of Stalingrad,17 Jul 1942 - 2 Feb 1943
Caucasus Campaign,23 Jul 1942 - 9 Oct 1943
Guadalcanal Campaign,7 Aug 1942 - 9 Feb 1943
Second Moscow Conference,12 Aug 1942 - 17 Aug 1942
Makin Island Raid,17 Aug 1942 - 18 Aug 1942
Attack on Dieppe,18 Aug 1942 - 19 Aug 1942
Solomon Islands Campaign,23 Aug 1942 - 25 Dec 1943
Battle of Alam el Halfa,30 Aug 1942 - 5 Sep 1942
Laconia Incident,12 Sep 1942 - 17 Sep 1942
Raids in Libya,13 Sep 1942 - 19 Sep 1942
Cherchell Conference,21 Oct 1942 - 22 Oct 1942
Second Battle of El Alamein,23 Oct 1942 - 11 Nov 1942
Operation Torch,8 Nov 1942 - 16 Nov 1942
Advance into Tunisia,10 Nov 1942 - 25 Dec 1942
Battle of Brisbane,26 Nov 1942 - 27 Nov 1942
Scuttling of the French Fleet,27 Nov 1942
Invasion of French Somaliland,1 Dec 1942 - 31 Jan 1943
First Battle of Arakan,21 Dec 1942 - 3 Apr 1943
Battle of the Barents Sea,31 Dec 1942
Casablanca Conference,14 Jan 1943
Battle of Faƒ¯d Pass and Sidi Bouzid,30 Jan 1943 - 17 Feb 1943
Operation Longcloth,8 Feb 1943 - 27 Apr 1943
Third Battle of Kharkov,16 Feb 1943 - 15 Mar 1943
Battle of Kasserine Pass,19 Feb 1943 - 25 Feb 1943
Battle of Medenine,6 Mar 1943 - 10 Mar 1943
Operation Creek,9 Mar 1943
Operations Pugilist and Supercharge II,19 Mar 1943 - 31 Mar 1943
Khatyn Massacre,22 Mar 1943
Battle of El Guettar,23 Mar 1943 - 7 Apr 1943
Aleutian Islands Campaign,26 Mar 1943 - 16 Aug 1943
The Davao Escape,4 Apr 1943
Battle of Wadi Akarit,6 Apr 1943 - 7 Apr 1943
Conclusion of the Desert War,7 Apr 1943 - 13 May 1943
Bermuda Conference,19 Apr 1943
Warsaw Ghetto Uprising,19 Apr 1943 - 16 May 1943
Black May,29 Apr 1943 - 24 May 1943
Operation Mincemeat,30 Apr 1943
Battle of Exi,5 May 1943 - 11 Jun 1943
Trident Conference,12 May 1943 - 25 May 1943
Dambuster Raid,17 May 1943
Raid on Gorkiy,4 Jun 1943 - 1 Jul 1943
Battle of Pantelleria and Pelagie Islands,8 Jun 1943 - 13 Jun 1943
Battle of Kursk,4 Jul 1943 - 13 Jul 1943
Invasion of Sicily and Italy's Surrender,10 Jul 1943 - 3 Sep 1943
Operation Tidal Wave,1 Aug 1943
Battle of Belgorod,3 Aug 1943 - 14 Aug 1943
Fourth Battle of Kharkov,12 Aug 1943 - 23 Aug 1943
Quadrant Conference,14 Aug 1943 - 24 Aug 1943
Operation Avalanche,3 Sep 1943 - 17 Sep 1943
Dodecanese Campaign,8 Sep 1943 - 20 Nov 1943
Operation Eiche,12 Sep 1943
Naples Uprising,27 Sep 1943 - 30 Sep 1943
"New Guinea-Papua Campaign, Phase 3",30 Sep 1943 - 23 May 1945
Advance to the Gustav Line,3 Oct 1943 - 15 Jan 1944
Battle of the Black Sea,6 Oct 1943
Third Moscow Conference,18 Oct 1943 - 10 Nov 1943
Weather Station Kurt,22 Oct 1943 - 23 Oct 1943
Battle of Changde,2 Nov 1943 - 20 Dec 1943
Erntefest Massacre,3 Nov 1943 - 4 Nov 1943
Battle of Kiev,3 Nov 1943 - 10 Dec 1943
Greater East Asia Conference,5 Nov 1943 - 6 Nov 1943
Gilbert Islands Campaign,13 Nov 1943 - 24 Nov 1943
Cairo Conference,22 Nov 1943 - 26 Nov 1943
Tehran Conference,28 Nov 1943 - 1 Dec 1943
Second Cairo Conference,4 Dec 1943 - 6 Dec 1943
Battle of the North Cape,26 Dec 1943
Second Battle of Arakan,30 Dec 1943 - 6 Apr 1944
Battle of Monte Cassino,17 Jan 1944 - 18 May 1944
Anzac Conference,19 Jan 1944 - 21 Jan 1944
Battle of Anzio,22 Jan 1944 - 4 Jun 1944
Marshall Islands Campaign,29 Jan 1944 - 21 Feb 1944
Operation Kutschera,1 Feb 1944
Attack on Truk,16 Feb 1944 - 18 Feb 1944
Operation Thursday,5 Mar 1944 - 27 Aug 1944
Battle of Imphal-Kohima,8 Mar 1944 - 3 Jul 1944
Battle of Myitkyina,10 Mar 1944 - 3 Aug 1944
Salween Offensive,1 Apr 1944 - 27 Jan 1945
Jassy-Kishinev Offensive and Romania's Surrender,8 Apr 1944 - 26 Sep 1944
Operation Cockpit and Operation Transom,19 Apr 1944 - 17 May 1944
Operation Ichigo,19 Apr 1944 - 31 Dec 1944
Exercise Tiger,22 Apr 1944 - 28 Apr 1944
Deportation of Crimean Tatars,18 May 1944 - 1 Jun 1944
Operation Frantic,2 Jun 1944 - 22 Sep 1944
The Capture of the U-505,4 Jun 1944 - 17 Jun 1944
Advance to the Gothic Line,4 Jun 1944 - 31 Jul 1944
"Normandy Campaign, Phase 1",6 Jun 1944 - 24 Jul 1944
Conclusion of the Battle of the Atlantic,25 May 1943 - 8 May 1945
Mariana Islands Campaign and the Great Turkey Shoot,13 Jun 1944 - 10 Aug 1944
V-Weapons Campaign,13 Jun 1944 - 30 Mar 1945
Battle of Tali-Ihantala and Battle of Vuosalmi,21 Jun 1944 - 17 Jul 1944
Operation Bagration,22 Jun 1944 - 29 Aug 1944
Port Chicago Naval Munitions Explosion,17 Jul 1944
July Plot,20 Jul 1944 - 21 Jul 1944
Discovery of Concentration Camps and the Holocaust,24 Jul 1944 - 29 Apr 1945
"Normandy Campaign, Phase 2",25 Jul 1944 - 22 Aug 1944
Pacific Strategy Conference,26 Jul 1944 - 27 Jul 1944
Warsaw Uprising,1 Aug 1944 - 2 Oct 1944
Brittany Campaign,1 Aug 1944 - 11 May 1945
Operation Aphrodite and Operation Anvil,4 Aug 1944 - 1 Jan 1945
The Cowra Breakout,5 Aug 1944
Invasion of Southern France,15 Aug 1944 - 15 Sep 1944
Liberation of Paris,25 Aug 1944
Gothic Line Offensive,25 Aug 1944 - 17 Dec 1944
Bulgaria Switched Sides,26 Aug 1944 - 8 Sep 1944
Slovak National Uprising,29 Aug 1944 - 28 Oct 1944
Liberation of Belgium,2 Sep 1944 - 2 Nov 1944
Finland Switched Sides,4 Sep 1944 - 15 Sep 1944
Octagon Conference,11 Sep 1944 - 16 Sep 1944
Belgrade Strategic Offensive Operation,14 Sep 1944 - 24 Nov 1944
Palau Islands and Ulithi Islands Campaigns,15 Sep 1944 - 1 Dec 1944
Battle of Morotai,15 Sep 1944 - 14 Jan 1945
Operation Market Garden,17 Sep 1944 - 25 Sep 1944
Battle of Hƒrtgen Forest,19 Sep 1944 - 10 Feb 1945
Battle of the Scheldt Estuary,2 Oct 1944 - 8 Nov 1944
Fourth Moscow Conference,9 Oct 1944 - 19 Oct 1944
Nemmersdorf Massacre,22 Oct 1944
"Philippines Campaign, Phase 1, the Leyte Campaign",22 Oct 1944 - 21 Dec 1944
Budapest Strategic Offensive Operation,29 Oct 1944 - 13 Feb 1945
Battle of Bhamo,14 Nov 1944 - 14 Dec 1944
Battle of Monte Castello,25 Nov 1944 - 22 Feb 1945
Third Battle of Arakan,12 Dec 1944 - 28 Feb 1945
"Philippines Campaign, Phase 2",12 Dec 1944 - 15 Aug 1945
Battle of the Bulge,16 Dec 1944 - 28 Jan 1945
Typhoon Cobra,18 Dec 1944
Battle of Garfagnana,26 Dec 1944 - 28 Dec 1944
Raid into the South China Sea,10 Jan 1945 - 20 Jan 1945
Vistula-Oder Offensive,12 Jan 1945 - 2 Feb 1945
Fifth Moscow Conference,13 Jan 1945
East Prussian Offensive,13 Jan 1945 - 26 Apr 1945
Battle of Meiktila-Mandalay,19 Jan 1945 - 29 Mar 1945
Advance to the Rhine,20 Jan 1945 - 25 Mar 1945
Malta Conference,30 Jan 1945 - 3 Feb 1945
Yalta Conference,4 Feb 1945 - 11 Feb 1945
Silesian Offensive and the Siege of Breslau,8 Feb 1945 - 6 May 1945
Battle of Iwo Jima,19 Feb 1945 - 26 Mar 1945
Bombing of Tokyo and Other Cities,19 Feb 1945 - 10 Aug 1945
East Pomeranian Offensive,24 Feb 1945 - 4 Apr 1945
Crossing the Rhine,22 Mar 1945 - 1 Apr 1945
Fall of the Ruhr,25 Mar 1945 - 18 Apr 1945
Southern Germany Campaign,28 Mar 1945 - 2 May 1945
Okinawa Campaign,1 Apr 1945 - 21 Jun 1945
Battle of Zhijiang,1 Apr 1945 - 30 Jun 1945
Battle of Vienna,2 Apr 1945 - 13 Apr 1945
Georgian Texel Uprising,6 Apr 1945 - 20 May 1945
Operation Grapeshot and Operation Roast,9 Apr 1945 - 2 May 1945
Borneo Campaign,11 Apr 1945 - 15 Aug 1945
Battle of Berlin,16 Apr 1945 - 2 May 1945
Battle of Rangoon,25 Apr 1945 - 6 May 1945
Battles of Collecchio and Fornovo di Taro,26 Apr 1945 - 29 Apr 1945
"Operations Manna, Chowhound, and Faust",29 Apr 1945 - 10 May 1945
Prague Strategic Offensive,6 May 1945 - 11 May 1945
Germany's Surrender,7 May 1945
Typhoon Connie,5 Jun 1945
Preparations for Invasion of Japan,14 Jul 1945 - 9 Aug 1945
Operation Trinity and Manhattan Project,16 Jul 1945
Potsdam Conference,16 Jul 1945 - 26 Jul 1945
Atomic Bombing of Hiroshima and Nagasaki,6 Aug 1945 - 9 Aug 1945
Manchurian Strategic Offensive,9 Aug 1945 - 2 Sep 1945
Japan's Surrender,14 Aug 1945 - 2 Sep 1945
Nuremberg Trials and Other Trials Against Germany,18 Oct 1945 - 13 Apr 1949
Tokyo Trial and Other Trials Against Japan,3 May 1946 - 12 Nov 1948
Paris Peace Conference,29 Jul 1946 - 15 Oct 1946
San Francisco Peace Conference,8 Sep 1951
The Treaty of Versailles,28 Jun 1919
The Treaty of Versailles,28 Jun 1919
