Name,Class,Country,Launch Year
SP6 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1943 (Projected, not actual) "
SP7 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1943 (Projected, not actual) "
SP8 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1944 (Projected, not actual) "
SP9 (Planned) ,Spƒ¤hkreuzer 1938-class Scout Cruiser ,Germany ,"1943 (Projected, not actual) "
Spencer ,Treasury-class USCG Cutter ,United States ,1937 
Spot ,Balao-class Submarine ,United States ,1944 
Springer ,Balao-class Submarine ,United States ,1944 
Sproston ,Fletcher-class Destroyer ,United States ,1942 
St. Louis ,St. Louis-class Light Cruiser ,United States ,1938 
Steamer Bay ,Casablanca-class Escort Carrier ,United States ,1944 
Stephen Hopkins ,Liberty-class Merchant Vessel ,United States ,1942 
Sterlet ,Balao-class Submarine ,United States ,1943 
Stier ,No Classification ,Germany ,1936 
Stord ,S-class Destroyer ,Norway ,1943 
Strasbourg ,Dunkerque-class Battleship ,France ,1936 
Stuart ,Scott-class Destroyer ,Australia ,1918 
Suffren ,Suffren-class Heavy Cruiser ,France ,1927 
Sunfish (Gato-class) ,Gato-class Submarine ,United States ,1942 
Sunfish (S-class) ,S-class Submarine ,United Kingdom ,1936 
Suzuya ,Mogami-class Heavy Cruiser ,Japan ,1934 
Sydney ,Leander-class Light Cruiser ,Australia ,1934 
T1 ,1935-class Motor Torpedo Boat ,Germany ,1938 
T10 ,1935-class Motor Torpedo Boat ,Germany ,1939 
T11 ,1935-class Motor Torpedo Boat ,Germany ,1939 
T12 ,1935-class Motor Torpedo Boat ,Germany ,1939 
T13 ,1937-class Motor Torpedo Boat ,Germany ,1939 
T14 ,1937-class Motor Torpedo Boat ,Germany ,1939 
T15 ,1937-class Motor Torpedo Boat ,Germany ,1939 
T16 ,1937-class Motor Torpedo Boat ,Germany ,1939 
T17 ,1937-class Motor Torpedo Boat ,Germany ,1940 
T18 ,1937-class Motor Torpedo Boat ,Germany ,1940 
T19 ,1937-class Motor Torpedo Boat ,Germany ,1940 
T2 ,1935-class Motor Torpedo Boat ,Germany ,1938 
T20 ,1937-class Motor Torpedo Boat ,Germany ,1940 
T21 ,1937-class Motor Torpedo Boat ,Germany ,1940 
T23 ,1939-class Motor Torpedo Boat ,Germany ,1941 
T24 ,1939-class Motor Torpedo Boat ,Germany ,1941 
T25 ,1939-class Motor Torpedo Boat ,Germany ,1941 
T26 ,1939-class Motor Torpedo Boat ,Germany ,1942 
T27 ,1939-class Motor Torpedo Boat ,Germany ,1942 
T28 ,1939-class Motor Torpedo Boat ,Germany ,1942 
T29 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T3 ,1935-class Motor Torpedo Boat ,Germany ,1938 
T30 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T31 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T32 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T33 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T34 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T35 ,1939-class Motor Torpedo Boat ,Germany ,1943 
T36 ,1939-class Motor Torpedo Boat ,Germany ,1944 
T37 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T38 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T39 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T4 ,1935-class Motor Torpedo Boat ,Germany ,1938 
T40 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T41 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T42 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T43 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T44 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T45 ,1941-class Motor Torpedo Boat ,Germany ,1944 
T5 ,1935-class Motor Torpedo Boat ,Germany ,1937 
T6 ,1935-class Motor Torpedo Boat ,Germany ,1937 
T7 ,1935-class Motor Torpedo Boat ,Germany ,1938 
T8 ,1935-class Motor Torpedo Boat ,Germany ,1938 
T9 ,1935-class Motor Torpedo Boat ,Germany ,1938 
Tabberer ,John C. Butler-class Destroyer Escort ,United States ,1944 
Taiho ,Taiho-class Aircraft Carrier ,Japan ,1943 
Taiyo ,Taiyo-class Escort Carrier ,Japan ,1940 
Takao ,Takao-class Heavy Cruiser ,Japan ,1930 
Tama ,Kuma-class Light Cruiser ,Japan ,1920 
Tang ,Balao-class Submarine ,United States ,1943 
Tanga ,Tanga-class Tender ,Germany ,1937 
Tanikaze ,Kagero-class Destroyer ,Japan ,1940 
Tatsuta ,Tenryu-class Light Cruiser ,Japan ,1918 
Tatsuta Maru ,No Classification ,Japan ,1929 
Tautog ,Tambor-class Submarine ,United States ,1940 
Tennessee ,Tennessee-class Battleship ,United States ,1919 
Tenryu ,Tenryu-class Light Cruiser ,Japan ,1918 
Texas ,New York-class Battleship ,United States ,1912 
Thor ,No Classification ,Germany ,1938 
Thorn ,Gleaves-class Destroyer ,United States ,1943 
Thunderbolt ,T-class Submarine ,United Kingdom ,1938 
Ticonderoga ,Essex-class Aircraft Carrier ,United States ,1944 
Tiger ,1924-class Motor Torpedo Boat ,Germany ,1928 
Tinosa ,Gato-class Submarine ,United States ,1942 
Tirante ,Tench-class Submarine ,United States ,1944 
Tirpitz ,Bismarck-class Battleship ,Germany ,1939 
Tone ,Tone-class Heavy Cruiser ,Japan ,1937 
Tranquility ,Haven-class Hospital Ship ,United States ,1944 
Trento ,Trento-class Heavy Cruiser ,Italy ,1927 
Trepang ,Balao-class Submarine ,United States ,1944 
Tribune ,T-class Submarine ,United Kingdom ,1938 
Trieste ,Trento-class Heavy Cruiser ,Italy ,1926 
Trillium ,Flower-class Corvette ,Canada ,1940 
Tsingtau ,Tsingtau-class Tender ,Germany ,1934 
Tucker ,Mahan-class Destroyer ,United States ,1936 
Tunny ,Gato-class Submarine ,United States ,1942 
Tuscaloosa ,New Orleans-class Heavy Cruiser ,United States ,1933 
U-1 ,Type II-class Submarine ,Germany ,1935 
U-10 ,Type II-class Submarine ,Germany ,1935 
U-100 ,Type VII-class Submarine ,Germany ,1940 
U-101 ,Type VII-class Submarine ,Germany ,1940 
U-102 ,Type VII-class Submarine ,Germany ,1940 
U-103 ,Type IX-class Submarine ,Germany ,1940 
U-104 ,Type IX-class Submarine ,Germany ,1940 
U-105 ,Type IX-class Submarine ,Germany ,1940 
U-1059 ,Type VII-class Submarine ,Germany ,1943 
U-106 ,Type IX-class Submarine ,Germany ,1940 
U-107 ,Type IX-class Submarine ,Germany ,1940 
U-108 ,Type IX-class Submarine ,Germany ,1940 
U-109 ,Type IX-class Submarine ,Germany ,1940 
U-11 ,Type II-class Submarine ,Germany ,1935 
U-110 ,Type IX-class Submarine ,Germany ,1940 
U-111 ,Type IX-class Submarine ,Germany ,1940 
U-12 ,Type II-class Submarine ,Germany ,1935 
U-120 ,Type II-class Submarine ,Germany ,1940 
U-121 ,Type II-class Submarine ,Germany ,1940 
U-122 ,Type IX-class Submarine ,Germany ,1939 
U-123 ,Type IX-class Submarine ,Germany ,1940 
U-1233 ,Type IX-class Submarine ,Germany ,1943 
U-1234 ,Type IX-class Submarine ,Germany ,1944 
U-124 ,Type IX-class Submarine ,Germany ,1940 
U-125 ,Type IX-class Submarine ,Germany ,1940 
U-13 ,Type II-class Submarine ,Germany ,1935 
U-132 ,Type VII-class Submarine ,Germany ,1941 
U-134 ,Type VII-class Submarine ,Germany ,1941 
U-135 ,Type VII-class Submarine ,Germany ,1941 
U-136 ,Type VII-class Submarine ,Germany ,1941 
U-137 ,Type II-class Submarine ,Germany ,1940 
U-138 ,Type II-class Submarine ,Germany ,1940 
U-139 ,Type II-class Submarine ,Germany ,1940 
U-14 ,Type II-class Submarine ,Germany ,1935 
U-140 ,Type II-class Submarine ,Germany ,1940 
U-141 ,Type II-class Submarine ,Germany ,1940 
U-142 ,Type II-class Submarine ,Germany ,1940 
U-143 ,Type II-class Submarine ,Germany ,1940 
U-144 ,Type II-class Submarine ,Germany ,1940 
U-145 ,Type II-class Submarine ,Germany ,1940 
U-146 ,Type II-class Submarine ,Germany ,1940 
U-147 ,Type II-class Submarine ,Germany ,1940 
U-148 ,Type II-class Submarine ,Germany ,1940 
U-149 ,Type II-class Submarine ,Germany ,1940 
U-15 ,Type II-class Submarine ,Germany ,1936 
U-150 ,Type II-class Submarine ,Germany ,1940 
U-151 ,Type II-class Submarine ,Germany ,1940 
U-152 ,Type II-class Submarine ,Germany ,1940 
U-153 ,Type IX-class Submarine ,Germany ,1941 
U-154 ,Type IX-class Submarine ,Germany ,1941 
U-155 ,Type IX-class Submarine ,Germany ,1941 
U-156 ,Type IX-class Submarine ,Germany ,1941 
U-157 ,Type IX-class Submarine ,Germany ,1941 
U-158 ,Type IX-class Submarine ,Germany ,1941 
U-159 ,Type IX-class Submarine ,Germany ,1941 
U-16 ,Type II-class Submarine ,Germany ,1936 
U-161 ,Type IX-class Submarine ,Germany ,1941 
U-162 ,Type IX-class Submarine ,Germany ,1941 
U-163 ,Type IX-class Submarine ,Germany ,1941 
U-164 ,Type IX-class Submarine ,Germany ,1941 
U-166 ,Type IX-class Submarine ,Germany ,1941 
U-167 ,Type IX-class Submarine ,Germany ,1942 
U-168 ,Type IX-class Submarine ,Germany ,1942 
U-17 ,Type II-class Submarine ,Germany ,1935 
U-171 ,Type IX-class Submarine ,Germany ,1941 
U-172 ,Type IX-class Submarine ,Germany ,1941 
U-173 ,Type IX-class Submarine ,Germany ,1941 
U-174 ,Type IX-class Submarine ,Germany ,1941 
U-175 ,Type IX-class Submarine ,Germany ,1941 
U-176 ,Type IX-class Submarine ,Germany ,1941 
U-177 ,Type IX-class Submarine ,Germany ,1941 
U-178 ,Type IX-class Submarine ,Germany ,1941 
U-179 ,Type IX-class Submarine ,Germany ,1941 
U-18 ,Type II-class Submarine ,Germany ,1935 
U-180 ,Type IX-class Submarine ,Germany ,1941 
U-181 ,Type IX-class Submarine ,Germany ,1941 
U-182 ,Type IX-class Submarine ,Germany ,1942 
U-184 ,Type IX-class Submarine ,Germany ,1942 
U-187 ,Type IX-class Submarine ,Germany ,1942 
U-188 ,Type IX-class Submarine ,Germany ,1942 
U-189 ,Type IX-class Submarine ,Germany ,1942 
U-19 ,Type II-class Submarine ,Germany ,1935 
U-190 ,Type IX-class Submarine ,Germany ,1942 
U-191 ,Type IX-class Submarine ,Germany ,1942 
U-197 ,Type IX-class Submarine ,Germany ,1942 
U-198 ,Type IX-class Submarine ,Germany ,0000 
U-2 ,Type II-class Submarine ,Germany ,1935 
U-20 ,Type II-class Submarine ,Germany ,1936 
U-201 ,Type VII-class Submarine ,Germany ,1940 
U-202 ,Type VII-class Submarine ,Germany ,1941 
U-203 ,Type VII-class Submarine ,Germany ,1941 
U-204 ,Type VII-class Submarine ,Germany ,1941 
U-205 ,Type VII-class Submarine ,Germany ,1941 
U-206 ,Type VII-class Submarine ,Germany ,1941 
U-207 ,Type VII-class Submarine ,Germany ,1941 
U-208 ,Type VII-class Submarine ,Germany ,1941 
U-21 ,Type II-class Submarine ,Germany ,1936 
U-213 ,Type VII-class Submarine ,Germany ,1941 
U-214 ,Type VII-class Submarine ,Germany ,1941 
U-22 ,Type II-class Submarine ,Germany ,1936 
U-23 ,Type II-class Submarine ,Germany ,1936 
U-24 ,Type II-class Submarine ,Germany ,1936 
U-25 ,Type I-class Submarine ,Germany ,1936 
U-2501 ,Type XXI-class Submarine ,Germany ,1944 
U-26 ,Type I-class Submarine ,Germany ,1936 
U-27 ,Type VII-class Submarine ,Germany ,1936 
U-28 ,Type VII-class Submarine ,Germany ,1936 
U-29 ,Type VII-class Submarine ,Germany ,1936 
U-3 ,Type II-class Submarine ,Germany ,1935 
U-30 ,Type VII-class Submarine ,Germany ,1936 
U-3001 ,Type XXI-class Submarine ,Germany ,1944 
U-3008 ,Type XXI-class Submarine ,Germany ,1944 
U-3009 ,Type XXI-class Submarine ,Germany ,1944 
U-3010 ,Type XXI-class Submarine ,Germany ,1944 
U-3011 ,Type XXI-class Submarine ,Germany ,1944 
U-3012 ,Type XXI-class Submarine ,Germany ,1944 
U-3013 ,Type XXI-class Submarine ,Germany ,1944 
U-3014 ,Type XXI-class Submarine ,Germany ,1944 
U-3015 ,Type XXI-class Submarine ,Germany ,1944 
U-3016 ,Type XXI-class Submarine ,Germany ,1944 
U-3017 ,Type XXI-class Submarine ,Germany ,1944 
U-3019 ,Type XXI-class Submarine ,Germany ,1944 
U-3036 ,Type XXI-class Submarine ,Germany ,1945 
U-31 ,Type VII-class Submarine ,Germany ,1936 
U-32 ,Type VII-class Submarine ,Germany ,1937 
U-33 ,Type VII-class Submarine ,Germany ,1936 
U-34 ,Type VII-class Submarine ,Germany ,1936 
U-35 ,Type VII-class Submarine ,Germany ,1936 
U-36 ,Type VII-class Submarine ,Germany ,1936 
U-37 ,Type IX-class Submarine ,Germany ,1938 
U-38 ,Type IX-class Submarine ,Germany ,1938 
U-39 ,Type IX-class Submarine ,Germany ,1938 
U-4 ,Type II-class Submarine ,Germany ,1935 
U-40 ,Type IX-class Submarine ,Germany ,1938 
U-41 ,Type IX-class Submarine ,Germany ,1939 
U-42 ,Type IX-class Submarine ,Germany ,1939 
U-43 ,Type IX-class Submarine ,Germany ,1939 
U-44 ,Type IX-class Submarine ,Germany ,1939 
U-45 ,Type VII-class Submarine ,Germany ,1938 
U-46 ,Type VII-class Submarine ,Germany ,1938 
U-47 ,Type VII-class Submarine ,Germany ,1938 
U-4714 ,Type XXIII-class Submarine ,Germany ,1945 
U-48 ,Type VII-class Submarine ,Germany ,1939 
U-49 ,Type VII-class Submarine ,Germany ,1939 
U-5 ,Type II-class Submarine ,Germany ,1935 
U-50 ,Type VII-class Submarine ,Germany ,1939 
U-505 ,Type IX-class Submarine ,Germany ,1941 
U-51 ,Type VII-class Submarine ,Germany ,1938 
U-52 ,Type VII-class Submarine ,Germany ,1938 
U-53 ,Type VII-class Submarine ,Germany ,1939 
U-530 ,Type IX-class Submarine ,Germany ,1942 
U-54 ,Type VII-class Submarine ,Germany ,1939 
U-55 ,Type VII-class Submarine ,Germany ,1939 
U-559 ,Type VII-class Submarine ,Germany ,1941 
U-56 ,Type II-class Submarine ,Germany ,1938 
U-57 ,Type II-class Submarine ,Germany ,1938 
U-575 ,Type VII-class Submarine ,Germany ,1941 
U-576 ,Type VII-class Submarine ,Germany ,1941 
U-577 ,Type VII-class Submarine ,Germany ,1941 
U-578 ,Type VII-class Submarine ,Germany ,1941 
U-58 ,Type II-class Submarine ,Germany ,1938 
U-59 ,Type II-class Submarine ,Germany ,1938 
U-6 ,Type II-class Submarine ,Germany ,1935 
U-60 ,Type II-class Submarine ,Germany ,1939 
U-61 ,Type II-class Submarine ,Germany ,1939 
U-62 ,Type II-class Submarine ,Germany ,1939 
U-63 ,Type II-class Submarine ,Germany ,1939 
U-64 ,Type IX-class Submarine ,Germany ,1939 
U-65 ,Type IX-class Submarine ,Germany ,1939 
U-66 ,Type IX-class Submarine ,Germany ,1940 
U-67 ,Type IX-class Submarine ,Germany ,1940 
U-68 ,Type IX-class Submarine ,Germany ,1940 
U-69 ,Type VII-class Submarine ,Germany ,1940 
U-7 ,Type II-class Submarine ,Germany ,1935 
U-70 ,Type VII-class Submarine ,Germany ,1940 
U-71 ,Type VII-class Submarine ,Germany ,1940 
U-72 ,Type VII-class Submarine ,Germany ,1940 
U-73 ,Type VII-class Submarine ,Germany ,1940 
U-74 ,Type VII-class Submarine ,Germany ,1940 
U-75 ,Type VII-class Submarine ,Germany ,1940 
U-751 ,Type VII-class Submarine ,Germany ,1940 
U-752 ,Type VII-class Submarine ,Germany ,1941 
U-754 ,Type VII-class Submarine ,Germany ,1941 
U-76 ,Type VII-class Submarine ,Germany ,1940 
U-77 ,Type VII-class Submarine ,Germany ,1940 
U-78 ,Type VII-class Submarine ,Germany ,1940 
U-79 ,Type VII-class Submarine ,Germany ,1941 
U-8 ,Type II-class Submarine ,Germany ,1935 
U-80 ,Type VII-class Submarine ,Germany ,1941 
U-81 ,Type VII-class Submarine ,Germany ,1941 
U-82 ,Type VII-class Submarine ,Germany ,1941 
U-821 ,Type VII-class Submarine ,Germany ,1943 
U-822 ,Type VII-class Submarine ,Germany ,1944 
U-83 ,Type VII-class Submarine ,Germany ,1940 
U-84 ,Type VII-class Submarine ,Germany ,1941 
U-85 ,Type VII-class Submarine ,Germany ,1941 
U-86 ,Type VII-class Submarine ,Germany ,1941 
U-860 ,Type IX-class Submarine ,Germany ,1943 
U-869 ,Type IX-class Submarine ,Germany ,1943 
U-87 ,Type VII-class Submarine ,Germany ,1941 
U-88 ,Type VII-class Submarine ,Germany ,1941 
U-89 ,Type VII-class Submarine ,Germany ,1941 
U-9 ,Type II-class Submarine ,Germany ,1935 
U-90 ,Type VII-class Submarine ,Germany ,1941 
U-91 ,Type VII-class Submarine ,Germany ,1941 
U-92 ,Type VII-class Submarine ,Germany ,1942 
U-93 ,Type VII-class Submarine ,Germany ,1940 
U-94 ,Type VII-class Submarine ,Germany ,1940 
U-95 ,Type VII-class Submarine ,Germany ,1940 
U-96 ,Type VII-class Submarine ,Germany ,1940 
U-97 ,Type VII-class Submarine ,Germany ,1940 
U-977 ,Type VII-class Submarine ,Germany ,1943 
U-98 ,Type VII-class Submarine ,Germany ,1940 
U-99 ,Type VII-class Submarine ,Germany ,1940 
UA ,Ay-class Submarine ,Germany ,1938 
Unryu ,Unryu-class Aircraft Carrier ,Japan ,1943 
Unyo ,Taiyo-class Escort Carrier ,Japan ,1939 
Valiant ,Queen Elizabeth-class Battleship ,United Kingdom ,1914 
Vampire ,V and W-class Destroyer ,Australia ,1917 
Vendetta ,V and W-class Destroyer ,Australia ,1917 
Victorious ,Illustrious-class Aircraft Carrier ,United Kingdom ,1939 
Vincennes ,New Orleans-class Heavy Cruiser ,United States ,1936 
Vittorio Veneto ,Vittorio Veneto-class Battleship ,Italy ,1937 
Voroshilov ,Kirov-class Light Cruiser ,Russia ,1937 
Vƒ¤inƒ¤mƒ¶inen ,Vƒ¤inƒ¤mƒ¶inen-class Coastal Defense Ship ,Finland ,1932 
Wahoo ,Gato-class Submarine ,United States ,1942 
Wake Island ,Casablanca-class Escort Carrier ,United States ,1943 
Waldemar Kophamel ,Wilhelm Bauer-class Submarine Tender ,Germany ,1939 
Waller ,Fletcher-class Destroyer ,United States ,1942 
Warspite ,Queen Elizabeth-class Battleship ,United Kingdom ,1913 
Washington ,North Carolina-class Battleship ,United States ,1940 
Wasp (Essex-class) ,Essex-class Aircraft Carrier ,United States ,1943 
Wasp (Wasp-class) ,Wasp-class Aircraft Carrier ,United States ,1939 
Waterhen ,V and W-class Destroyer ,Australia ,1918 
Wedderburn ,Fletcher-class Destroyer ,United States ,1943 
West Virginia ,Colorado-class Battleship ,United States ,1921 
Westcott ,V and W-class Destroyer ,United Kingdom ,1918 
Westfalen ,No Classification ,Germany ,1905 
Whale ,Gato-class Submarine ,United States ,1942 
Whitehall ,V and W-class Destroyer ,United Kingdom ,1919 
Wickes ,Fletcher-class Destroyer ,United States ,1942 
Widder ,No Classification ,Germany ,1929 
Wilhelm Bauer ,Wilhelm Bauer-class Submarine Tender ,Germany ,1938 
Wisconsin ,Iowa-class Battleship ,United States ,1943 
Wolf ,1924-class Motor Torpedo Boat ,Germany ,1927 
Yahagi ,Agano-class Light Cruiser ,Japan ,1942 
Yamagumo ,Asashio-class Destroyer ,Japan ,1938 
Yamashiro ,Fuso-class Battleship ,Japan ,1915 
Yamato ,Yamato-class Battleship ,Japan ,1940 
Yingrui ,Zhaohe-class Protected Cruiser ,China ,1911 
York ,York-class Heavy Cruiser ,United Kingdom ,1928 
Yorktown (Essex-class) ,Essex-class Aircraft Carrier ,United States ,1943 
Yorktown (Yorktown-class) ,Yorktown-class Aircraft Carrier ,United States ,1936 
Young ,Fletcher-class Destroyer ,United States ,1942 
Yubari ,Yubari-class Light Cruiser ,Japan ,1923 
Yugure ,Hatsuharu-class Destroyer ,Japan ,1934 
Yukikaze ,Kagero-class Destroyer ,Japan ,1939 
Yura ,Nagara-class Light Cruiser ,Japan ,1922 
Yuzuki ,Mutsuki-class Destroyer ,Japan ,1927 
Z1 Leberecht Maass ,1934-class Destroyer ,Germany ,1935 
Z10 Hans Lody ,1934A-class Destroyer ,Germany ,1936 
Z11 Bernd Von Arnim ,1934A-class Destroyer ,Germany ,1936 
Z12 Erich Giese ,1934A-class Destroyer ,Germany ,1937 
Z13 Erich Koellner ,1934A-class Destroyer ,Germany ,1937 
Z14 Friedrich Ihn ,1934A-class Destroyer ,Germany ,1935 
Z15 Erich Steinbrinck ,1934A-class Destroyer ,Germany ,1936 
Z16 Friedrich Eckholdt ,1934A-class Destroyer ,Germany ,1937 
Z17 Diether von Roeder ,1936-class Destroyer ,Germany ,1937 
Z18 Hans Ludemann ,1936-class Destroyer ,Germany ,1937 
Z19 Hermann Kunne ,1936-class Destroyer ,Germany ,1937 
Z2 Georg Thiele ,1934-class Destroyer ,Germany ,1935 
Z20 Karl Galster ,1936-class Destroyer ,Germany ,1938 
Z21 Wilhelm Heidkamp ,1936-class Destroyer ,Germany ,1938 
Z22 Anton Schmitt ,1936-class Destroyer ,Germany ,1938 
Z23 ,1936A-class Destroyer ,Germany ,1939 
Z24 ,1936A-class Destroyer ,Germany ,1940 
Z25 ,1936A-class Destroyer ,Germany ,1940 
Z26 ,1936A-class Destroyer ,Germany ,1940 
Z27 ,1936A-class Destroyer ,Germany ,1940 
Z28 ,1936A-class Destroyer ,Germany ,1940 
Z29 ,1936A-class Destroyer ,Germany ,1940 
Z3 Max Schultz ,1934-class Destroyer ,Germany ,1935 
Z30 ,1936A-class Destroyer ,Germany ,1940 
Z31 ,1936A (Mob)-class Destroyer ,Germany ,1941 
Z32 ,1936A (Mob)-class Destroyer ,Germany ,1941 
Z33 ,1936A (Mob)-class Destroyer ,Germany ,1941 
Z34 ,1936A (Mob)-class Destroyer ,Germany ,1942 
Z35 ,1936B-class Destroyer ,Germany ,1942 
Z36 ,1936B-class Destroyer ,Germany ,1943 
Z37 ,1936A (Mob)-class Destroyer ,Germany ,1942 
Z38 ,1936A (Mob)-class Destroyer ,Germany ,1941 
Z39 ,1936A (Mob)-class Destroyer ,Germany ,1941 
Z4 Richard Beitzen ,1934-class Destroyer ,Germany ,1935 
Z43 ,1936B-class Destroyer ,Germany ,1943 
Z44 ,1936B-class Destroyer ,Germany ,1944 
Z5 Paul Jacobi ,1934A-class Destroyer ,Germany ,1936 
Z51 ,1942-class Destroyer ,Germany ,1944 
Z6 Theodor Riedel ,1934A-class Destroyer ,Germany ,1936 
Z7 Hermann Schoemann ,1934A-class Destroyer ,Germany ,1936 
Z8 Bruno Heinemann ,1934A-class Destroyer ,Germany ,1936 
Z9 Wolfgang Zenker ,1934A-class Destroyer ,Germany ,1936 
Zara ,Zara-class Heavy Cruiser ,Italy ,1930 
Zhaohe ,Zhaohe-class Protected Cruiser ,China ,1911 
Zuiho ,Zuiho-class Light Carrier ,Japan ,1936 
Zuikaku ,Shokaku-class Aircraft Carrier ,Japan ,1939 
